run_id	metric	predicted_value	predicted_direction	confidence	metric_value	signal	memory_gb	runtime_s	status	description
orf-p4-ablations	unsaturated_mean_gain_percent	44.0	beat-baseline	medium	44.355152104598	confirm	0.548843384	1.506462713	keep	one-at-a-time replacement of H=200000 by H=10^18
orf-p4-generalization	mean_generalization_gain_percent	35.0	beat-baseline	medium	36.393868336949	confirm	0.558269501	1.294787546	keep	disjoint public unsaturated balanced-cliff regime; confirm interval 30-45 percent
orf-p4-generalization	all_generalization_masters_clear_fraction	1.0	beat-baseline	high	1.000000000000	confirm	0.558269501	1.294787546	keep	all three weighted generalization masters must gain at least 5 percent
orf-p4-scaling	all_scale_master_cells_clear_fraction	1.0	beat-baseline	high	1.000000000000	confirm	0.583507538	0.031398170	keep	all 3 masters x nested 40/160/320-profile cells must gain at least 5 percent
porf-c3-profile-v2	deterministic_profiles_passed	5	match-baseline	high	5	confirm	1.411659241	57.762814461	keep	five exact joint-cap profiles selected their frozen expected arms
porf-c3-profile-v2	sdk_stability_fraction	1.0	match-baseline	high	0.666666666667	disconfirm	1.411659241	57.762814461	discard	6/9 frozen expectations passed; all per-turn masters unexpectedly selected m24 because trusted replay construction adds fixed per-candidate cost
mpc24-c3-replay-cal-v1	heldout_replay_envelope_coverage	1.0	match-baseline	high	1.000000000000	confirm	NA	0.025844213	exploratory	structural gamma*c_m+kappa*c_1 proxy calibrated on replicates 0-2 and tested on 3-4
mpc24-c3-replay-cal-v1	heldout_cells_ge_fixed8_fraction	1.0	match-baseline	low	1.000000000000	confirm	NA	0.025844213	exploratory	proxy-valued controller was no worse than fixed8 in all 9 retained cells
mpc24-c3-replay-cal-v1	proxy_controller_to_fixed8_ratio	1.10	beat-baseline	low	1.443010752688	confirm	NA	0.025844213	exploratory	the same proxy controlled selection and capacity; actual held-out replay cost only tested coverage
mpc24-c3-symmetry-v1	mpc_fixed24_first_state_match_fraction	1.0	match-baseline	high	1.000000000000	confirm	NA	0.099020520	exploratory	symmetric monotone salvage reproduced all nine MPC 24/8 first-state choices
mpc24-c3-symmetry-v1	mpc_to_fixed24_ceiling_ratio	1.01	under-baseline	high	1.000000000000	confirm	NA	0.099020520	exploratory	selector retired because aggregate was exactly equal to the symmetric fixed24 ceiling
mpc24-c3-symmetry-v1	best_static_pattern	24	match-baseline	medium	24	confirm	NA	0.099020520	exploratory	best of 106 primitive 8/24 periods and cyclic phases was the one-element 24 ceiling
mpc24-c3-symmetry-v1	scalar_actual_replay_overage_cells	1	beat-baseline	medium	7	confirm	NA	0.099020520	exploratory	full retrospective scalar-ledger controller exceeded actual replay in seven of nine cells
mpc24-c3-symmetry-v1	calibrated_actual_replay_overage_cells	0	match-baseline	high	0	confirm	NA	0.099020520	exploratory	calibrated ledger kept actual replay within four seconds in all nine retained cells
hcms24-c3-poc-v1	hcms_to_best_simple_ratio	1.10	beat-baseline	medium	1.391831525207	confirm	0.140686035	466.829215854	discard	controlled uplift cleared the floor, but the preregistered joint result is invalid because replay coverage and generation validity failed
hcms24-c3-poc-v1	hcms_actual_replay_coverage	1.0	match-baseline	high	0.989417989418	disconfirm	0.140686035	466.829215854	discard	187/189 endogenous HCMS candidates were covered; two fresh immediate-cliff candidates exceeded their calibrated charges
hcms24-c3-poc-v1	hcms_actual_replay_overage_cells	0	match-baseline	high	0	confirm	0.140686035	466.829215854	discard	zero of 36 primary HCMS cells exceeded the aggregate two-second replay budget, but per-candidate coverage still failed
hcms24-c3-poc-v1	scalar_actual_replay_overage_cells	1	beat-baseline	medium	19	confirm	0.140686035	466.829215854	discard	end-to-end scalar-ledger removal exceeded actual replay budget in 19 of 36 primary cells
hcms24-c3-poc-v1	invalid_timeout_duplicate_generation_overage_count	0	match-baseline	high	4	disconfirm	0.140686035	466.829215854	discard	four primary generation cells crossed two seconds after the fixed 0.1-second path-start reserve admitted a final construction/reset path
ahcms24-c3-poc-v1	ahcms_to_retry_efficiency_ratio	1.25	beat-baseline	medium	NA	null	NA	NA	preregistered	primary matched-trace ratio; confirm at least 1.10 on positive retry raw
ahcms24-c3-poc-v1	ahcms_to_retry_half_tail_efficiency_ratio	1.12	beat-baseline	medium	NA	null	NA	NA	preregistered	all retry raw retained while floor-discounting half of retry-only captured elapsed; confirm at least 1.10
ahcms24-c3-poc-v1	ahcms_raw_retention	0.998	match-baseline	medium	NA	null	NA	NA	preregistered	aggregate absorbing raw divided by positive retry raw; confirm at least 0.995
ahcms24-c3-poc-v1	retry_tail_elapsed_fraction	0.20	beat-baseline	medium	NA	null	NA	NA	preregistered	nominal retry-only captured elapsed share; confirm at least 0.10
ahcms24-c3-poc-v1	half_discounted_retry_tail_elapsed_fraction	0.10	beat-baseline	medium	NA	null	NA	NA	preregistered	floor-half retry-tail captured elapsed share under the discounted retry denominator; confirm at least 0.10
ahcms24-c3-poc-v1	ahcms_to_fixed8_efficiency_ratio	1.20	beat-baseline	medium	NA	null	NA	NA	preregistered	material constrained endpoint versus the specified fixed8 absorbing control when feasible; confirm at least 1.10
ahcms24-c3-poc-v1	ahcms_to_fixed24_no_salvage_efficiency_ratio	1.20	beat-baseline	medium	NA	null	NA	NA	preregistered	material constrained endpoint versus the specified fixed24 no-salvage absorbing control when feasible; confirm at least 1.10
ahcms24-c3-poc-v1	specified_simple_pareto_dominance_count	0	match-baseline	high	NA	null	NA	NA	preregistered	no specified feasible simple control may Pareto-dominate AHCMS on raw and captured generation elapsed
ahcms24-c3-poc-v1	ahcms_generation_overage_units	0	match-baseline	high	NA	null	NA	NA	preregistered	zero of nine AHCMS projections may strictly exceed two billion captured generation nanoseconds
ahcms24-c3-poc-v1	ahcms_replay_overage_units	0	match-baseline	high	NA	null	NA	NA	preregistered	zero of nine AHCMS projections may strictly exceed two billion aggregate accepted-candidate replay nanoseconds
ahcms24-c3-poc-v1	invalidity_count	0	match-baseline	high	NA	null	NA	NA	preregistered	all sampling source timer completeness attribution numeric and publication invariants must pass
scoc32-mechanism-harness-run03	coverage_gate_m32	0.95	meet-gate	high	1.0	confirm	NA	30.0	exploratory	Single_full coverage proxy at m=32 required >=0.95; scoC/compact/generic/chain_full met 1.000 while blocked_anchor and cold_operand were 0.000 and excluded by gate.
scoc32-mechanism-harness-run04	coverage_gate_m32	0.95	meet-gate	high	1.0	confirm	NA	9.0	exploratory	SCOC mechanism harness replay-parity rerun: m=32 coverage for SINGLE_FULL/CHAIN_FULL/CHAIN_COMPACT_EXPLICIT/CHAIN_SCOC/CHAIN_GENERIC stays 1.000 while CHAIN_BLOCKED_ANCHOR and COLD_OPERAND_ONLY remain 0.000; m32 raw/s peaks at chain_full 14582.6 and chain_scoC 13519.9.
scoc32-local-scocpair-no-scoC	normalized	23.3	match-baseline	medium	23.279999999999998	confirm	0.5	7.05459	exploratory	paired local evaluate_redteam on AmortizingAgent, enable_scoc=False, max_candidates=24, score=23.280 findings=24, structure=multi_message
scoc32-local-scocpair-with-scoC	normalized	23.3	match-baseline	medium	23.279999999999998	confirm	0.5	7.173515	exploratory	paired local evaluate_redteam on AmortizingAgent, enable_scoc=True, max_candidates=24, score=23.280 findings=24, structure=scoc_chain
scoc32-local-scoc-matrix-compliant_zero_overhead-seed42-no_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	2.993803024291992	exploratory	SCOC disabled on compliant-zero-overhead seed 42 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=multi_message, replay_cost=0.6s, unit_cost=0.044s.
scoc32-local-scoc-matrix-compliant_zero_overhead-seed42-with_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	3.032686471939087	exploratory	SCOC enabled on compliant-zero-overhead seed 42 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=multi_message, replay_cost=0.6s, unit_cost=0.044s.
scoc32-local-scoc-matrix-compliant_zero_overhead-seed777-no_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	3.0243146419525146	exploratory	SCOC disabled on compliant-zero-overhead seed 777 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=multi_message, replay_cost=0.7s, unit_cost=0.045s.
scoc32-local-scoc-matrix-compliant_zero_overhead-seed777-with_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	2.9897284507751465	exploratory	SCOC enabled on compliant-zero-overhead seed 777 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=scoc_chain, replay_cost=0.6s, unit_cost=0.044s.
scoc32-local-scoc-matrix-compliant_zero_overhead-seed2026-no_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	3.0934364795684814	exploratory	SCOC disabled on compliant-zero-overhead seed 2026 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=multi_message, replay_cost=0.6s, unit_cost=0.045s.
scoc32-local-scoc-matrix-compliant_zero_overhead-seed2026-with_scoC	normalized	23.28	match-baseline	low	23.28	confirm	NA	2.9759645462036133	exploratory	SCOC enabled on compliant-zero-overhead seed 2026 at m~12 probe+12 fill, max_candidates=24, normalized=23.28 structure=multi_message, replay_cost=0.6s, unit_cost=0.048s.
scoc32-local-scoc-matrix-context_limited_4-seed42-no_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.847496509552002	exploratory	SCOC disabled on context-limited-4 seed 42 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.022s.
scoc32-local-scoc-matrix-context_limited_4-seed42-with_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.975436210632324	exploratory	SCOC enabled on context-limited-4 seed 42 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.021s.
scoc32-local-scoc-matrix-context_limited_4-seed777-no_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.8753862380981445	exploratory	SCOC disabled on context-limited-4 seed 777 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.021s.
scoc32-local-scoc-matrix-context_limited_4-seed777-with_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.9679505825042725	exploratory	SCOC enabled on context-limited-4 seed 777 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.022s.
scoc32-local-scoc-matrix-context_limited_4-seed2026-no_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.8830480575561523	exploratory	SCOC disabled on context-limited-4 seed 2026 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.021s.
scoc32-local-scoc-matrix-context_limited_4-seed2026-with_scoC	normalized	2.16	match-baseline	low	2.16	confirm	NA	2.8989195823669434	exploratory	SCOC enabled on context-limited-4 seed 2026 at m~12 probe+12 fill, max_candidates=24, normalized=2.16 structure=single_post, replay_cost=0.6s, unit_cost=0.022s.
scoc32-local-scoc-config-sweep-compliant-scoc_default	normalized	23.28	match-baseline	low	23.28	confirm	0.5	NA	exploratory	SCOC config-sweep compliant scenario scoc_default (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.75): 24 findings, structure=scoc_chain, normalized=23.28.
scoc32-local-scoc-config-sweep-compliant-scoc_partial50	normalized	23.28	match-baseline	low	23.28	confirm	0.5	NA	exploratory	SCOC config-sweep compliant scenario scoc_partial50 (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.50): 24 findings, structure=multi_message, normalized=23.28.
scoc32-local-scoc-config-sweep-compliant-scoc_partial40	normalized	23.28	match-baseline	low	23.28	confirm	0.5	NA	exploratory	SCOC config-sweep compliant scenario scoc_partial40 (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.40): 24 findings, structure=multi_message, normalized=23.28.
scoc32-local-scoc-config-sweep-compliant-scoc_long_fill	normalized	23.28	match-baseline	low	23.28	confirm	0.5	NA	exploratory	SCOC config-sweep compliant scenario scoc_long_fill (enable_scoc=True, scoc_fill=24, scoc_probe=6, min_fire=0.75): 24 findings, structure=multi_message, normalized=23.28.
scoc32-local-scoc-config-sweep-compliant-scoc_off	normalized	23.28	match-baseline	low	23.28	confirm	0.5	NA	exploratory	SCOC config-sweep compliant scenario scoc_off (enable_scoc=False): 24 findings, structure=multi_message, normalized=23.28.
scoc32-local-scoc-config-sweep-context_limited_4-scoc_default	normalized	2.16	match-baseline	low	2.16	confirm	0.5	NA	exploratory	SCOC config-sweep context_limited_4 scenario scoc_default (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.75): 24 findings, structure=single_post, normalized=2.16.
scoc32-local-scoc-config-sweep-context_limited_4-scoc_partial50	normalized	2.16	match-baseline	low	2.16	confirm	0.5	NA	exploratory	SCOC config-sweep context_limited_4 scenario scoc_partial50 (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.50): 24 findings, structure=single_post, normalized=2.16.
scoc32-local-scoc-config-sweep-context_limited_4-scoc_partial40	normalized	2.16	match-baseline	low	2.16	confirm	0.5	NA	exploratory	SCOC config-sweep context_limited_4 scenario scoc_partial40 (enable_scoc=True, scoc_fill=12, scoc_probe=6, min_fire=0.40): 24 findings, structure=single_post, normalized=2.16.
scoc32-local-scoc-config-sweep-context_limited_4-scoc_long_fill	normalized	2.16	match-baseline	low	2.16	confirm	0.5	NA	exploratory	SCOC config-sweep context_limited_4 scenario scoc_long_fill (enable_scoc=True, scoc_fill=24, scoc_probe=6, min_fire=0.75): 24 findings, structure=single_post, normalized=2.16.
scoc32-local-scoc-config-sweep-context_limited_4-scoc_off	normalized	2.16	match-baseline	low	2.16	confirm	0.5	NA	exploratory	SCOC config-sweep context_limited_4 scenario scoc_off (enable_scoc=False): 24 findings, structure=single_post, normalized=2.16.
scoc32-local-scoc-holdout-compliant_zero_overhead-seed42-scoc_off	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.892756462097168	exploratory	held-out matrix scenario=compliant_zero_overhead seed=42 tag=scoc_off findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed42-scoc_default	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.8838822841644287	exploratory	held-out matrix scenario=compliant_zero_overhead seed=42 tag=scoc_default findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed42-scoc_probe12	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.8959250450134277	exploratory	held-out matrix scenario=compliant_zero_overhead seed=42 tag=scoc_probe12 findings=24 structure=scoc_chain normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed42-scoc_long_fill	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.9505481719970703	exploratory	held-out matrix scenario=compliant_zero_overhead seed=42 tag=scoc_long_fill findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed777-scoc_off	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.863614797592163	exploratory	held-out matrix scenario=compliant_zero_overhead seed=777 tag=scoc_off findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed777-scoc_default	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.871621608734131	exploratory	held-out matrix scenario=compliant_zero_overhead seed=777 tag=scoc_default findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed777-scoc_probe12	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.9884355068206787	exploratory	held-out matrix scenario=compliant_zero_overhead seed=777 tag=scoc_probe12 findings=24 structure=scoc_chain normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed777-scoc_long_fill	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.898404359817505	exploratory	held-out matrix scenario=compliant_zero_overhead seed=777 tag=scoc_long_fill findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed2026-scoc_off	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.887988567352295	exploratory	held-out matrix scenario=compliant_zero_overhead seed=2026 tag=scoc_off findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed2026-scoc_default	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.9907901287078857	exploratory	held-out matrix scenario=compliant_zero_overhead seed=2026 tag=scoc_default findings=24 structure=scoc_chain normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed2026-scoc_probe12	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.8769235610961914	exploratory	held-out matrix scenario=compliant_zero_overhead seed=2026 tag=scoc_probe12 findings=24 structure=scoc_chain normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed2026-scoc_long_fill	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.93806529045105	exploratory	held-out matrix scenario=compliant_zero_overhead seed=2026 tag=scoc_long_fill findings=24 structure=multi_message normalized=23.279999999999998 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed42-scoc_off	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.774176597595215	exploratory	held-out matrix scenario=context_limited_8 seed=42 tag=scoc_off findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed42-scoc_default	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.783357620239258	exploratory	held-out matrix scenario=context_limited_8 seed=42 tag=scoc_default findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed42-scoc_probe12	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.837402105331421	exploratory	held-out matrix scenario=context_limited_8 seed=42 tag=scoc_probe12 findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed42-scoc_long_fill	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.759223461151123	exploratory	held-out matrix scenario=context_limited_8 seed=42 tag=scoc_long_fill findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed777-scoc_off	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.7150278091430664	exploratory	held-out matrix scenario=context_limited_8 seed=777 tag=scoc_off findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed777-scoc_default	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.7723214626312256	exploratory	held-out matrix scenario=context_limited_8 seed=777 tag=scoc_default findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed777-scoc_probe12	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.7269773483276367	exploratory	held-out matrix scenario=context_limited_8 seed=777 tag=scoc_probe12 findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed777-scoc_long_fill	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.78623628616333	exploratory	held-out matrix scenario=context_limited_8 seed=777 tag=scoc_long_fill findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed2026-scoc_off	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.867438554763794	exploratory	held-out matrix scenario=context_limited_8 seed=2026 tag=scoc_off findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed2026-scoc_default	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.783743143081665	exploratory	held-out matrix scenario=context_limited_8 seed=2026 tag=scoc_default findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed2026-scoc_probe12	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.741621255874634	exploratory	held-out matrix scenario=context_limited_8 seed=2026 tag=scoc_probe12 findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-context_limited_8-seed2026-scoc_long_fill	normalized	2.16	match-baseline	low	2.16	confirm	0.5	2.892974853515625	exploratory	held-out matrix scenario=context_limited_8 seed=2026 tag=scoc_long_fill findings=24 structure=single_post normalized=2.16 (matched run11 payload)
scoc32-local-scoc-holdout-compliant_zero_overhead-seed42-scoc_anchor4	normalized	23.28	match-baseline	low	23.279999999999998	confirm	0.5	2.98610782623291	exploratory	held-out matrix scenario=compliant_zero_overhead seed=42 tag=scoc_anchor4 findings=24 structure=scoc_chain normalized=23.279999999999998 (matched run14 payload)
